TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,latitude,longitude
f_f009168,2308200002,2,1,1,1,1,7672100995.0,(주)아성다이소,경북 고령군 대가야읍 우륵로 18,경북 고령군 대가야읍 쾌빈리 403-1,3320012.0,4783025321.0,2023-08-20 12:25,1,5000.0,우드무늬 벽시계,,35.7443,128.26623
f_f007550,2309010007,1,0,0,2,2,6562000529.0,맛뜰안어묵,부산 기장군 기장읍 동암해안길 63,부산 기장군 기장읍 시랑리 83,4220080.0,2671025033.0,2023-09-01 17:24,1,6000.0,,,0.0,0.0
f_f001070,2306030002,3,0,0,1,4,1108142397.0,항공우주박물관,경남 사천시 사남면 공단1로 78,경남 사천시 사남면 유천리 806,3334007.0,4824032024.0,2023-06-03 11:44,1,8000.0,입장권,,0.0,0.0
f_f001317,2305290002,2,0,0,1,4,5051477772.0,파라다이스,경북 경주시 보문로 74-13,경북 경주시 북군동 185-1,3305021.0,4713014000.0,2023-05-29 13:05,1,9000.0,,,35.85684,129.26318
f_f000972,2305280003,3,0,0,0,4,,인생네컷,메가커피 바로옆,,,,,1,9000.0,,4221010800.0,46.3144754,11.0480288
f_f002465,2306030007,2,0,0,2,3,2068650913.0,이마트,강원특별자치도 동해시 천곡로 100,강원특별자치도 동해시 천곡동 831,3221044.0,5117010100.0,2023-06-03 21:37,1,9000.0,영양카스테라,,37.51996,129.0977
f_f008752,2308200010,6,1,1,1,4,6048115788.0,소노인터내셔널,강원특별자치도 홍천군 서면 한치골길 262,,4475627.0,5172037023.0,2023-08-20 14:30,1,9500.0,초정탄산수(라임);존슨)화이트로션;블랙헤드데일리클렌저,,46.3144754,11.0480288
f_f001268,2306040005,1,0,0,1,1,5605700660.0,조방낙지,부산 수영구 남천동로9번길 11,부산 수영구 남천동 12-16,4214134.0,2650010500.0,2023-06-04 19:17,1,11000.0,공기밥;낙새,,35.1446789,129.1100882
f_f013251,2309070005,3,0,0,1,1,8938200320.0,영상테마파크,경남 합천군 용주면 합천호수로 757,경남 합천군 용주면 가호리 256-5,3348035.0,4889046037.0,2023-09-07 13:09,1,12000.0,입장권,,0.0,0.0
e_e000003,2304300004,3,0,0,1,4,,,,,,,2023-04-30 13:30,1,16000.0,입장권,,46.3144754,11.0480288
f_f002514,2306100008,2,0,0,1,1,4198102439.0,농업법인주식회사단석가,경북 경주시 금성로 237,,3305009.0,4713010900.0,2023-06-10 16:51,1,16000.0,찰보리빵,,46.3144754,11.0480288
f_f007961,2308170002,2,0,0,1,2,8248102515.0,상상마당부산,부산 부산진구 서면로 39,부산 부산진구 부전동 521-1,3129025.0,2623010300.0,2023-08-17 11:14,1,16000.0,자석책갈피;투명포토카드,,35.1569988,129.058582
f_f000422,2305220003,2,0,0,1,4,5050994836.0,대맥명가 찰보리빵,경북 경주시 태종로727번길 3,경북 경주시 노서동 120-4,4716214.0,4713010700.0,2023-05-22 14:09,1,22000.0,,,35.84337,129.20454
f_f000912,2306040005,2,0,0,1,5,2279081502.0,대일수산,강원특별자치도 속초시 중앙로147번길 16,강원특별자치도 속초시 중앙동 471-4,4469221.0,5121010300.0,2023-06-04 16:31,1,22000.0,,,38.20139,128.58763
