TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000003,2304300003,1,0,,우동;라면 등,N,1,
e_e000003,2304300004,3,0,,프로축구 K리그 경기,Y,1,2
e_e000003,2304300002,5,0,,,,,
e_e000003,2304300005,5,0,,,,,
e_e000340,2305270002,1,0,,탕수육;짬뽕;자장면,N,1,
e_e000340,2305280003,1,0,,담백한 막국수;명태 회 막국수;만두,N,1,
e_e000340,2305290003,1,0,,이동갈비;비빔냉면,N,4,
e_e000340,2305290002,3,0,,물고기 잡기,N,5,1
e_e000340,2305290001,3,1,,물고기 잡기,N,5,1
e_e000340,2305270004,4,0,,,,,
e_e000340,2305280001,4,0,,,,,
e_e000340,2305280002,4,0,,,,,
e_e000340,2305280005,4,0,,,,,
e_e000340,2305280006,4,0,,,,,
e_e000340,2305270003,5,0,,,,,
e_e000340,2305270005,5,0,,,,,
e_e000340,2305280004,5,0,,,,,
e_e000340,2305280007,5,0,,,,,
e_e000340,2305290001,5,0,,,,,
e_e000515,2306030002,1,0,,오징어핫바;닭꼬치;닭강정;핫도그,Y,1,
e_e000515,2306050003,1,0,,햄버거;떢볶이;에이드,N,1,
e_e000515,2306050005,1,0,,모듬회,N,1,
e_e000515,2306040001,4,0,,,,,
e_e000515,2306040002,4,0,,,,,
e_e000515,2306050001,4,0,,,,,
e_e000515,2306050002,4,0,,,,,
e_e000515,2306050004,4,1,,,,,
e_e000515,2306050004,5,0,,,,,
e_e000515,2306030002,5,1,,,,,
e_e000571,2305240004,1,0,,쟁반짜장;찹쌀탕수육,N,4,
e_e000571,2305240005,1,0,,커피;디저트,N,1,
e_e000571,2305250001,1,0,,커피;빵,N,1,
e_e000571,2305250002,1,0,,샴페인;맥주;식사류,N,1,
e_e000571,2305260002,1,0,,애프터눈티세트;망고빙수,Y,1,
e_e000571,2305260003,1,0,,꼬치;텐동;마키,Y,4,
e_e000571,2305250001,2,1,,헤어핀;모자,N,1,
e_e000571,2305240002,3,0,,소이산모노레일 탑승,Y,1,1
e_e000571,2305240003,4,0,,,,,
e_e000571,2305260001,4,0,,,,,
e_e000571,2305260006,4,0,,,,,
e_e000571,2305240002,4,1,,,,,
e_e000571,2305250003,5,0,,,,,
e_e000571,2305250002,5,1,,,,,
e_e000571,2305260002,5,1,,,,,
e_e000571,2305260005,6,0,,기차탑승준비,Y,5,
e_e000571,2305250002,6,2,,,Y,1,
e_e000571,2305240007,7,0,,,,,
e_e000571,2305240006,99,0,,,,,
e_e000601,2305260002,1,0,,매참김밥,N,1,
e_e000601,2305270003,1,0,,독도새우회,Y,4,
e_e000601,2305280002,1,0,,블루베리치즈빙수 국화빵,N,1,
e_e000601,2305280003,1,0,,막창,Y,1,
e_e000601,2305290001,2,0,,백미빵 생크림단팥빵,Y,1,
e_e000601,2305270003,2,1,,선물용 대게 및 게장밥 포장,Y,1,
e_e000601,2305260004,4,0,,,,,
e_e000601,2305270001,4,0,,,,,
e_e000601,2305270004,4,0,,,,,
e_e000601,2305280001,4,0,,,,,
e_e000601,2305270004,5,1,,,,,
e_e000654,2305200002,1,0,,소고기국밥&고기굴림만두&호두잣과자 먹음,N,1,
e_e000654,2305200004,1,0,,돼지고기를 먹었습니다,N,1,
e_e000654,2305200005,1,0,,파리바게트에서 인절미쉐이크 가평맛남샌드구매,N,1,
e_e000654,2305200003,3,0,,짚라인&어드벤처를 체험했습니다,N,1,1
e_e000654,2305200005,5,1,,,,,
e_e001062,2305270002,1,0,,고기 술 회 과자,Y,4,
e_e001062,2305270003,1,0,,도나우핫칠리덕;도나우어니언덕,N,1,
e_e001062,2305270005,1,0,,제육볶음;칼국수,Y,1,
e_e001062,2305270007,1,0,,회,N,2,
e_e001062,2305280001,1,0,,불낙전골  닭칼국수,N,1,
e_e001062,2305280002,1,0,,쑥라떼 평온차 초콜릿라떼,Y,1,
e_e001062,2305290002,1,0,,냉면,Y,1,
e_e001062,2305290005,1,0,,보쌈,Y,1,
e_e001062,2305270003,1,2,,닥터페퍼,N,1,
e_e001062,2305270006,2,0,,고기 술 과자 양념등등,N,1,
e_e001062,2305270008,2,0,,고기 과자 음료,Y,1,
e_e001062,2305280005,2,1,,송이버섯 도마,N,5,
e_e001062,2305270002,3,1,,스크린골프 노래방 수영,Y,5,1
e_e001062,2305280006,4,0,,,,,
e_e001062,2305290001,4,1,,,,,
e_e001062,2305280002,4,3,,,,,
e_e001062,2305270004,5,0,,,,,
e_e001062,2305280003,5,0,,,,,
e_e001062,2305290001,5,0,,,,,
e_e001062,2305290003,5,0,,,,,
e_e001062,2305290004,5,0,,,,,
e_e001062,2305270003,5,1,,,,,
e_e001062,2305280002,5,1,,,,,
e_e001062,2305280004,5,1,,,,,
e_e001062,2305280006,5,1,,,,,
e_e001062,2305270002,5,2,,,,,
e_e004690,2307280002,1,0,,아이스아메리카노,N,1,
e_e004690,2307280005,1,0,,라멘,N,1,
e_e004690,2307290002,1,0,,막국수,N,1,
e_e004690,2307290003,1,0,,커피;빵,N,1,
e_e004690,2307290004,1,0,,과일주스,N,1,
e_e004690,2307290005,1,0,,부대볶음,N,1,
e_e004690,2307300001,1,0,,커피,N,1,
e_e004690,2307280006,2,0,,간식,N,1,
e_e004690,2307290006,2,0,,음료수 간식,N,1,
e_e004690,2307300002,2,0,,과일 등,N,1,
e_e004690,2307300003,2,0,,주유,N,1,
e_e004690,2307280003,3,0,,워터파크 및 수상레저이용,N,1,2
e_e004690,2307290007,3,0,,입장,N,5,2
e_e004690,2307290006,3,1,,미션임파서블 영화,Y,1,2
e_e004690,2307290001,3,3,,자연감상,N,5,1
e_e004690,2307280006,4,1,,,,,
e_e004690,2307300002,4,1,,,,,
e_e004690,2307290001,4,2,,,,,
e_e004690,2307290005,4,3,,,,,
e_e004690,2307280004,5,0,,,,,
e_e004690,2307280002,5,1,,,,,
e_e004690,2307290004,5,1,,,,,
e_e004690,2307280007,5,4,,,,,
e_e004690,2307280007,6,2,,숙소휴식,Y,5,
e_e004785,2307100007,1,0,,숯불닭갈비 - 소금;-양념;막걸리;비빔막국수,N,1,
e_e004785,2307110003,1,0,,해물칼수제비 2인분;해물전,N,1,
e_e004785,2307110004,1,0,,아이스호두과자,N,1,
e_e004785,2307120001,1,0,,우렁쌈밥;된장찌개,N,1,
e_e004785,2307120004,1,0,,미니아몬드크로와상;아이스아메리카노;콜드브루 아인슈페너,Y,1,
e_e004785,2307120006,1,0,,눈사람아이스크림호떡,N,1,
e_e004785,2307120007,1,0,,에스프레소 눈꽃 빙수,N,1,
e_e004785,2307120009,1,0,,철판 닭갈비 2인분;볶음밥 1인분,Y,1,
e_e004785,2307110010,1,1,,티본스테이크;삼겹살;비빔면;소시지;양파;명이나물;파프리카;새송이버섯;청하;맥주;과자;초콜릿;마시멜로;김치,Y,4,
e_e004785,2307100008,2,0,,맥주 2캔;과자 3봉지;물,N,1,
e_e004785,2307110006,2,0,,물;술;삼겹살;명이나물;과자;아이스크림;깻잎;황토밤오징어;새송이버섯;비비고차돌된장찌개;생와사비;초콜릿;깐양파;파프리카;비비고김치;블루베리;후랑크소시지,N,1,
