TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e000003,커피 등 음료수,0,4,,김포 사우동 GS25,GS25,,,,,1,20000,,4157010600
e_e000340,자충매트; 랜턴; 고기; 볶음밥,0,4,,G마켓,,,,,,4,200000,,4165033000
e_e004785,바베큐 재료(티본스테이크),1,2,1208800767,쿠팡(주) ,서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-07-09 02:45,3,29990,티본스테이크(냉동),
f_f000021,간식,1,3,6098205152,북창원농협하나로마트화천점,경남 창원시 의창구 북면 천주로 503,,3327052,4812131028,2023-04-27 12:27,1,50980,하이내켄;사과;오이(가시오이);슈프림골드커피믹스;뜨라네파프리카,
f_f000029,편의점간식,1,3,2583300534,CU,서울 송파구 성내천로21길 6,서울 송파구 마천동 21-1,4169252,1171011400,2023-04-28 18:21,1,18700,어프)하이볼얼그레이;아트)청신레몬하이볼;아프)하이볼레몬토닉;콜드오렌지;바리스타블랙,
f_f000265,간식,0,3,,롯데제과,,,,,,1,19000,,2626010900
f_f000273,고기.간식,0,4,,애플마트,애플마트,,,,,1,60000,,2714010100
f_f000296,문화재설명 프로그램,0,2,,마이리얼트립,마이리얼트립 온라인,,,,,5,80000,,1165010800
f_f000297,식료품.고기.냉동밥,1,3,,,,,,,2023-05-20 16:40,1,51220,R)김치전;리얼)단단한얼음;일반쓰레기봉투;유어스)DMZ맑은샘물;호가든캔,
f_f000319,고속버스예매,0,1,,중앙고속,고속버스터미널역7호선 서울 서초구 신반포로 194,,,,,1,46600,,1165010700
f_f000320,음료 맥주 고기,1,3,4158213678,정남진장흥하나로마트,전남 장흥군 장흥읍 동교로 27,,3292009,4680025037,2023-05-27 09:48,1,12820,백산수;켈리(캔);[쿠폰]켈리;청양고추,
