COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,e_e000003,2,1,2,1
1,e_e000003,1,2,5,1
3,e_e000003,2,2,2,1
1,e_e000340,1,1,5,1
3,e_e000340,2,1,1,1
2,e_e000340,2,1,1,1
1,e_e000515,1,2,5,1
3,e_e000515,2,2,1,1
2,e_e000515,2,2,2,1
4,e_e000515,2,1,1,1
1,e_e000654,8,1,4,1
6,e_e001062,7,1,5,3
1,e_e001062,7,1,5,3
3,e_e001062,7,1,5,3
5,e_e001062,7,1,5,3
7,e_e001062,7,1,5,3
2,e_e001062,7,1,5,3
4,e_e001062,7,1,5,3
1,e_e004690,1,2,4,1
1,e_e004785,8,1,3,1
1,e_e006945,5,2,5,1
1,e_e008914,8,1,4,1
3,e_e008914,3,2,6,3
2,e_e008914,3,1,6,1
1,f_f000007,1,1,4,1
1,f_f000012,8,1,4,1
1,f_f000014,1,2,3,1
2,f_f000015,7,2,3,1
1,f_f000015,7,2,3,1
3,f_f000015,7,2,3,2
1,f_f000021,1,1,6,1
2,f_f000021,2,2,3,1
1,f_f000022,3,1,8,3
3,f_f000022,3,2,8,3
2,f_f000022,3,1,8,3
2,f_f000023,7,1,6,3
4,f_f000023,9,1,5,3
1,f_f000023,1,2,6,1
3,f_f000023,11,2,6,3
1,f_f000026,8,2,4,1
2,f_f000028,2,2,3,1
1,f_f000028,1,1,5,1
2,f_f000029,2,2,1,1
4,f_f000029,3,2,7,3
1,f_f000029,1,1,5,1
3,f_f000029,5,1,3,3
2,f_f000031,2,1,1,1
1,f_f000031,1,1,5,1
2,f_f000032,2,1,1,1
1,f_f000032,1,1,5,1
3,f_f000032,2,1,1,1
1,f_f000034,1,1,5,1
1,f_f000039,8,1,4,1
1,f_f000264,8,1,4,1
1,f_f000265,2,2,1,1
3,f_f000265,5,2,4,3
5,f_f000265,7,2,5,3
2,f_f000265,2,2,1,1
4,f_f000265,3,2,7,3
2,f_f000268,2,2,2,3
4,f_f000268,6,2,4,3
6,f_f000268,6,2,1,3
1,f_f000268,1,1,4,1
3,f_f000268,4,2,7,3
5,f_f000268,6,1,4,3
3,f_f000273,2,1,2,1
2,f_f000273,2,1,2,1
1,f_f000273,1,1,5,1
1,f_f000274,7,2,4,1
1,f_f000275,8,1,4,1
1,f_f000278,2,1,2,1
1,f_f000279,8,2,3,1
2,f_f000280,7,2,6,2
1,f_f000280,7,2,6,1
2,f_f000282,3,1,7,1
1,f_f000282,3,2,7,1
1,f_f000296,3,2,7,1
1,f_f000297,2,1,1,1
3,f_f000297,3,2,7,2
2,f_f000297,1,1,5,1
3,f_f000298,2,1,1,1
2,f_f000298,2,1,1,1
1,f_f000298,1,1,4,1
1,f_f000301,7,1,3,3
1,f_f000304,1,1,4,1
3,f_f000304,2,2,2,1
2,f_f000304,2,2,2,1
2,f_f000311,7,2,4,1
1,f_f000311,1,1,5,1
3,f_f000311,2,1,1,1
2,f_f000318,7,2,6,1
1,f_f000318,7,2,6,1
3,f_f000318,7,2,6,1
1,f_f000319,8,2,3,1
1,f_f000320,2,2,2,1
2,f_f000320,2,1,1,1
2,f_f000324,2,1,1,1
1,f_f000324,1,1,5,1
3,f_f000324,2,1,1,1
1,f_f000326,1,1,5,1
2,f_f000326,2,2,1,1
1,f_f000332,7,2,6,1
3,f_f000332,7,2,5,1
2,f_f000332,7,2,5,1
2,f_f000333,3,2,7,1
1,f_f000333,3,1,7,1
