TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
f_f001921,소호 259 호스텔,0,7,Y,,,1,,,강원 속초시 수복로259번길 11-3,강원 속초시 동명동 421-3,,,,5,30000,
f_f000944,티아라,0,2,N,,,2,,,대구 동구 신암남로 94,대구 동구 신암동 207-25,,,,1,40000,
f_f013677,아리랑호텔,0,2,Y,,,2,,,경북 문경시 문경읍 온천강변2길 38,경북 문경시 문경읍 하리 398-2,,,,1,47000,
f_f007088,주식회사 블루원,0,2,Y,,,2,,,경북 경주시 시래둑길 23,경북 경주시 시래동 945-125,,,,1,50000,
f_f002663,루나인,0,7,Y,,,1,,,강원 양양군 강현면 뒷나루1길 5,강원 양양군 강현면 전진리 71-8,,,,5,55000,
f_f001990,애플캔들하우스,0,3,Y,,,2,,,경북 경주시 보불로 126-93,경북 경주시 하동 656-34,,,,4,70000,
f_f002840,해운대 동백호텔,0,1,Y,,,2,,,부산 해운대구 구남로8번길 17,,,,,1,70000,
f_f004052,휘닉스 평창,0,4,Y,,,2,,,강원특별자치도 평창군 봉평면 태기로 174,강원특별자치도 평창군 봉평면 면온리 1095-1,,,,4,70000,
f_f005533,매직카펫라이드서프 게스트하우스,0,7,Y,,,2,,,강원특별자치도 양양군 현남면 인구길 52-1,강원특별자치도 양양군 현남면 인구리 635-8,,,,3,70000,
f_f005350,이비스 앰배서더 부산 시티센터,0,1,Y,,,2,,,부산 부산진구 중앙대로 777,부산 부산진구 부전동 573-7,,,,1,78375,
f_f000881,내게와 묵호 201호,0,3,Y,,,2,,,강원 동해시 해맞이길 286,강원 동해시 묵호진동 4-36,,,,1,80000,
f_f001182,동해보양온천컨벤션호텔,0,1,Y,,,2,,,강원 동해시 동해대로 6285,강원 동해시 망상동 396-18,,,,1,91613,
f_f000731,에이스컨트리클럽,0,2,Y,,,4,,,경남 거창군 가조면 온천길 32,경남 거창군 가조면 일부리 1363,,,,3,100000,
f_f003931,캡슐호텔 양양,0,7,Y,,,2,,,강원특별자치도 양양군 현남면 인구길 56-2,강원특별자치도 양양군 현남면 인구리 635-4,,,,1,156000,
f_f000599,전은경서프카페,0,7,Y,,,2,,,강원 양양군 현남면 인구중앙길 91,강원 양양군 현남면 시변리 27-10,,,,1,200000,
f_f004051,오크벨리리조트,0,4,Y,,,3,,,강원특별자치도 원주시 지정면 오크밸리1길 71,강원특별자치도 원주시 지정면 월송리 1061-10,,,,1,213000,
f_f005240,금강산콘도,0,4,Y,,,11,,,마차진리239,,,,,5,250000,
f_f005058,힐링턴콘도,0,4,Y,,,6,,,경북 영덕군 남정면 동해대로 3478,경북 영덕군 남정면 부경리 156,,,,5,290000,
f_f000503,해비치,0,3,N,,,4,,,울산 북구 동해안로 762,울산 북구 어물동 214-7,,,,1,360000,
f_f000874,크리스월드,2,5,Y,,,2,,크리스월드,경기 가평군 가평읍 북한강변로 360-91,경기 가평군 가평읍 금대리 49-4,3216019,4182025034,2023-04-29 21:14,3,308000,글램핑 노블 
e_e000340,포천자연마을 서울캠핑장,0,5,Y,,,4,,,경기 포천시 관인면 북원로 371-115,경기 포천시 관인면 사정리 140,,,,5,35000,
e_e000571,엠앤럭키호텔,0,2,Y,,,1,,,서울 종로구 수표로22길 38,서울 종로구 돈의동 155,,,,4,80000,
e_e000571,이비스스타일앰배서더 명동,0,1,Y,,,1,,,서울 중구 삼일대로 302,서울 중구 충무로2가 53-10,,,,4,180000,
e_e001062,와바모텔,1,2,Y,,,8,,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-28 10:18,3,60000,사천 호텔 WABA
e_e001062,필로티스 펜션,1,3,Y,,,8,,네이버파이낸셜,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-03-21 00:00,1,980000,필로티스펜션A동(온수수영장+노래방)
e_e004690,에그하우스,1,7,Y,,,2,,네이버파이낸셜,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2023-07-21 00:00,1,20000,ROOM 305-2(남자도미토리)
e_e004785,또바기스파글램핑,1,5,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-06-02 00:00,1,77999,PE또바기카라반3호신축
e_e004785,아롬스파펜션,1,3,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-30 10:23,1,29000,PE-[스파/게임기] 휘기에 
f_f000012,하이오션 경포,0,1,Y,,,2,,,강원 강릉시 경포로463번길 30-5,강원 강릉시 안현동 866,,,,1,85000,
f_f000015,BN888펜션,1,3,Y,,,4,,(주)펜션뱅크,강원 춘천시 경춘로 2364,강원 춘천시 온의동 513-3,3000120,4211012100,2023-05-02 10:11,3,150000,숙박비
f_f000021,오색온천장,0,2,Y,,,3,,,대청봉길58-28,,,,,5,140000,
f_f000026,세이지힐,1,5,Y,,,2,,세이지힐 캠핑장,강원 홍천군 남면 제곡2길 51,강원 홍천군 남면 제곡리 45-1,4475561,4272036028,2023-04-18 17:51,1,190000,캠핑장
f_f000028,더제니스호텔,0,1,Y,,,3,,,부산 금정구 금정로233번길 9,부산 금정구 구서동 415-28,,,,1,70000,
f_f000028,데이즈힐,0,3,Y,,,3,,,강원 평창군 대관령면 솔봉로 278-84,강원 평창군 대관령면 용산리 678,,,,1,310000,
f_f000032,휘닉스 평창,1,4,Y,,,4,,휘닉스평창,강원 평창군 봉평면 태기로 174,,3228037,4276034025,2023-04-28 00:00,1,368000,휘닉스 평창 봄 얼리버드 에디션_콘도
f_f000039,소노벨비발디파크,0,4,Y,,,2,,,강원 홍천군 서면 한치골길 264,강원 홍천군 서면 팔봉리 1289,,,,4,0,
f_f000044,버튼호텔 남포점,1,1,Y,,,1,,여기어때,서울 강남구 테헤란로 131,서울 강남구 역삼동 647-9,3122010,1168010100,2023-04-27 09:36,1,45000,숙박비
f_f000264,상주우산캠핑장,0,5,Y,,,2,,,경북 상주시 외서면 채릉산로 752,경북 상주시 외서면 우산리 223-3,,,,1,35000,
f_f000268,쏠비치 삼척,1,4,Y,,,7,,소노호텔앤리조트,서울 송파구 법원로 135,서울 송파구 문정동 641-3,3350849,1171010800,2023-05-21 10:08,1,234000,숙박비
f_f000269,강촌W펜션,0,3,N,,,1,,,강원 춘천시 남산면 강촌로 143,강원 춘천시 남산면 방곡리 400,,,,2,120000,
f_f000272,센텀 스위트 호텔,1,1,Y,,,1,,나이스페이먼츠(주),서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2023-05-16 14:51,1,181499,
f_f000273,대왕암공원 오토캠핑장,0,5,Y,,,4,,,울산 동구 등대로 80-61,울산 동구 일산동 909-1,,,,1,30000,
f_f000274,온뷰모텔,1,2,Y,,,2,,주식회사 여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-03 00:00,3,30610,숙박비
f_f000274,온뷰모텔,2,2,Y,,,2,,남해 온뷰,경남 남해군 삼동면 동부대로1122번길 132-2,경남 남해군 삼동면 물건리 16-25,4829182,4884033026,2023-05-03 00:00,1,0,숙박비
f_f000275,탑스텐호텔,0,1,Y,,,2,,,강원 강릉시 옥계면 헌화로 455-34,강원 강릉시 옥계면 금진리 92-1,,,,1,200000,
f_f000275,탑스텐호텔,1,1,Y,,,2,,호텔탑스텐,강원특별자치도 강릉시 옥계면 헌화로 455-34,강원특별자치도 강릉시 옥계면 금진리 92-1,3220051,5115035029,2023-06-03 00:00,1,0,숙박비
f_f000280,더휴식 아늑호텔 부산남포점,0,2,Y,,,3,,,부산 중구 대청로126번길 33,부산 중구 동광동2가 11-10,,,,1,90000,
f_f000280,프리마베라 인부산,0,1,Y,,,3,,,181-154,,,,,1,194000,
f_f000281,단호샌드파크캠핑장,1,5,Y,,,1,,안동시청,경북 안동시 퇴계로 115,,3307040,4717010400,2023-05-23 16:10,1,30000,
f_f000281,안동파크호텔,1,1,Y,,,1,,마이리얼트립,서울 서초구 강남대로 311,서울 서초구 서초동 1338-12,2102001,1165010800,,3,62554,굿스테이 안동 파크호텔
f_f000282,꿈다펜션,2,3,Y,,,3,,꿈다,강원특별자치도 양양군 현북면 동해대로 1269-18,강원특별자치도 양양군 현북면 기사문리 144,2000023,5183033022,2023-04-05 00:00,1,150000,숙박비
f_f000282,스카이베이호텔 경포,1,1,Y,,,3,,트립닷컴,,,,,2023-04-05 00:00,1,320985,스카이베이 호텔 경포
f_f000293,솔라리아니시테츠호텔 부산점,1,1,Y,,,1,,주식회사 야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-05-03 16:26,1,110000,솔라리아 니시테츠 부산
f_f000293,히로텔,1,2,Y,,,1,,BOOKING.COM,,,,,2023-05-19 00:00,1,55189,숙박비
f_f000296,스테이 더 나잇,0,7,Y,,,2,,,경북 경주시 북성로 136-1,경북 경주시 성동동 84-1,,,,5,179000,
f_f000297,경주 감은사지.맞은 편 노지캠핑,0,5,N,,,4,,,용당리,,,,,4,0,
f_f000297,풍뎅이호스텔,1,7,Y,,,4,,미니호텔풍뎅이,경북 경주시 태종로699번길 14,경북 경주시 노서동 162-35,4716211,4713010700,2023-05-21 21:35,1,44370,숙박비
f_f000298,굿모닝호텔,1,1,Y,,,4,,(주)코어윅스,,,,,2023-03-26 00:00,1,129270,[LIVE]속초 굿모닝호텔 속초아이디럭스 트윈2박패키지
f_f000301,플레아드블랑,1,1,Y,,,2,,플레아드블랑 호텔,부산 해운대구 해운대해변로298번길 29,부산 해운대구 중동 1123,4199300,2635010600,2023-05-19 14:48,1,83385,숙박비
f_f000304,고성다이노캠핑장,0,5,Y,,,4,,,경남 고성군 삼산면 두포5길 193,경남 고성군 삼산면 두포리 174,,,,1,100000,
f_f000311,하이원 그랜드호텔 컨벤션타워,1,1,Y,,,4,,아고다,,,,,2023-05-15 00:00,1,208847,HIGH1 GRAND HOTEL CONVENTION TOWER(KANGWONLAND HOTEL)
f_f000318,상유재,1,6,Y,,,4,,상유재 한옥스테이,강원특별자치도 정선군 정선읍 봉양3길 22-8,,4487143,5177025021,2023-05-05 18:20,3,160000,숙박비
f_f000320,경남 사천시 서포면 자구로 69-30번지,0,3,Y,,,3,,,자구로 69-30번지 y1펜션,,,,,5,130000,
f_f000323,경주게스트하우스 프랜드,1,7,Y,,,1,,경주게스트하우스프랜드,경북 경주시 북정로33번길 7,경북 경주시 황오동 203-23,4715547,4713010500,2023-05-30 10:10,3,18000,여자 도미토리인 4실
f_f000324,파라다이스호텔부산,1,1,Y,,,4,,파라다이스호텔 부산,부산 해운대구 해운대해변로 296,부산 해운대구 중동 1408-5,3133043,2635010600,2023-05-19 15:57,1,532400,숙박비
f_f000326,더앤리조트,0,1,Y,,,3,,,강원 양양군 현남면 개매길 260,강원 양양군 현남면 전포매리 47-4,,,,1,147000,
f_f000332,컨피네스오션스위트,0,1,Y,,,4,,,강원 강릉시 사천면 진리항구2길 5,강원 강릉시 사천면 사천진리 86-81,,,,1,99000,
f_f000333,그랜드엘시티레지던스,1,4,Y,,,4,,아고다,,,,,2023-05-11 00:00,1,885359,LCT RESIDENCE Y COLLECTION
f_f000334,도야거제가족호텔,1,1,Y,,,3,,BKG*HOTEL AT BOOKING.C,,,,,2023-05-30 11:40,1,145800,숙박비
f_f000334,포르투나호텔,0,1,Y,,,3,,,경남 통영시 미수해안로 152,경남 통영시 봉평동 446-2,,,,4,0,
f_f000336,토요코인호텔 부산역1호점,1,1,Y,,,5,,토요코인코리아(주)부산역,부산 동구 중앙대로196번길 12,부산 동구 초량동 1203-15,4181413,2617010100,2023-05-19 17:46,1,115050,
f_f000336,토요코인호텔 부산해운대2호점,1,1,Y,,,5,,토요코인,부산 해운대구 해운대해변로237번길 5,부산 해운대구 우동 648-2,4199298,2635010500,2023-05-20 15:05,1,349600,숙박비
f_f000337,호텔시리즈,1,2,Y,,,2,,(주)여기어때컴퍼니,서울 강남구 봉은사로 479,,3122004,1168010500,2023-05-11 00:00,3,0,MO-디럭스영화관모드초대
f_f000341,별아래팬션,1,3,Y,,,3,,별아래펜션,경남 밀양시 단장면 바드리길 9,경남 밀양시 단장면 구천리 584,4808351,4827035032,,1,100000,숙박비
f_f000344,연곡해변 솔향기캠핑장,0,5,Y,,,5,,,강원 강릉시 연곡면 해안로 1282,강원 강릉시 연곡면 동덕리 99-13,,,,5,86000,
f_f000348,컨피네스오션스위트,1,1,Y,,,4,,컨피네스오션스위트,강원 강릉시 사천면 진리항구2길 5,강원 강릉시 사천면 사천진리 86-81,4460924,4215036025,2023-05-26 18:59,1,168750,
