TRAVEL_ID,TRIP_ID,START_VISIT_AREA_ID,END_VISIT_AREA_ID,START_DT_MIN,END_DT_MIN,MVMN_CD_1,MVMN_CD_2
e_e000003,2304300001,2304300001,,2023-04-30 07:30,,,
e_e000003,2304300002,,2304300002,,2023-04-30 09:30,11,
e_e000003,2304300003,,2304300003,,2023-04-30 11:30,11,
e_e000003,2304300004,,2304300004,,2023-04-30 12:00,11,
e_e000003,2304300005,,2304300005,,2023-04-30 18:00,11,
e_e000003,2304300006,,2304300006,,2023-04-30 20:30,11,
e_e000340,2305270001,2305270001,,2023-05-27 11:00,,,
e_e000340,2305270002,,2305270002,,2023-05-27 13:30,1,
e_e000340,2305270003,,2305270003,,2023-05-27 14:30,1,
e_e000340,2305270004,,2305270004,,2023-05-27 18:00,1,
e_e000340,2305270005,,2305270005,,2023-05-27 19:00,1,
e_e000340,2305280001,,2305280001,,2023-05-28 11:30,1,
e_e000340,2305280002,,2305280002,,2023-05-28 13:00,15,
e_e000340,2305280003,,2305280003,,2023-05-28 14:00,1,
e_e000340,2305280004,,2305280004,,2023-05-28 15:30,1,
e_e000340,2305280005,,2305280005,,2023-05-28 16:30,1,
e_e000340,2305280006,,2305280006,,2023-05-28 18:00,1,
e_e000340,2305280007,,2305280007,,2023-05-28 20:00,1,
e_e000340,2305290001,,2305290001,,2023-05-29 11:00,1,
e_e000340,2305290002,,2305290002,,2023-05-29 12:30,1,
e_e000340,2305290003,,2305290003,,2023-05-29 14:00,1,
e_e000340,2305290004,,2305290004,,2023-05-29 06:00,1,
e_e000515,2306030001,2306030001,,2023-06-03 13:30,,,
e_e000515,2306030002,,2306030002,,2023-06-03 15:30,1,
e_e000515,2306030003,,2306030003,,2023-06-03 18:30,1,
e_e000515,2306040001,,2306040001,,2023-06-04 13:30,1,
e_e000515,2306040002,,2306040002,,2023-06-04 15:00,1,
e_e000515,2306040003,,2306040003,,2023-06-04 17:00,1,
e_e000515,2306050001,,2306050001,,2023-06-05 11:30,1,
e_e000515,2306050002,,2306050002,,2023-06-05 12:00,15,
e_e000515,2306050003,,2306050003,,2023-06-05 12:30,15,
e_e000515,2306050004,,2306050004,,2023-06-05 13:30,1,
e_e000515,2306050005,,2306050005,,2023-06-05 16:30,1,
e_e000515,2306050006,,2306050006,,2023-06-05 18:00,1,
e_e000515,2306060001,,2306060001,,2023-06-06 14:30,1,
e_e000571,2305240001,2305240001,,2023-05-24 08:30,,,
e_e000571,2305240002,,2305240002,,2023-05-24 13:30,9,1
e_e000571,2305240003,,2305240003,,2023-05-24 15:30,2,
e_e000571,2305240004,,2305240004,,2023-05-24 17:00,2,
e_e000571,2305240005,,2305240005,,2023-05-24 18:30,2,
e_e000571,2305240006,,2305240006,,2023-05-24 22:30,2,5
e_e000571,2305240007,,2305240007,,2023-05-24 08:30,1,
e_e000571,2305250001,,2305250001,,2023-05-25 10:30,15,
e_e000571,2305250002,,2305250002,,2023-05-25 13:30,5,
e_e000571,2305250003,,2305250003,,2023-05-25 13:30,5,
e_e000571,2305260001,,2305260001,,2023-05-26 13:00,5,
e_e000571,2305260002,,2305260002,,2023-05-26 14:00,5,
e_e000571,2305260003,,2305260003,,2023-05-26 17:30,5,
e_e000571,2305260004,,2305260004,,2023-05-26 23:30,7,
e_e000571,2305260005,,2305260005,,2023-05-26 20:30,5,
e_e000571,2305260006,,2305260006,,2023-05-26 12:00,15,
e_e000601,2305260001,2305260001,,2023-05-26 14:30,,,
e_e000601,2305260002,,2305260002,,2023-05-26 20:00,8,5
e_e000601,2305260003,,2305260003,,2023-05-26 20:30,15,
e_e000601,2305260004,,2305260004,,2023-05-26 21:30,15,
e_e000601,2305260005,,2305260005,,2023-05-26 23:00,15,
e_e000601,2305270001,,2305270001,,2023-05-27 08:30,1,
e_e000601,2305270002,,2305270002,,2023-05-27 11:00,1,
e_e000601,2305270003,,2305270003,,2023-05-27 12:30,1,
e_e000601,2305270004,,2305270004,,2023-05-27 14:30,1,
e_e000601,2305270005,,2305270005,,2023-05-27 17:30,1,
e_e000601,2305280001,,2305280001,,2023-05-28 15:00,15,
e_e000601,2305280002,,2305280002,,2023-05-28 16:00,15,
e_e000601,2305280003,,2305280003,,2023-05-28 17:30,15,
e_e000601,2305280004,,2305280004,,2023-05-28 19:00,15,
e_e000601,2305290001,,2305290001,,2023-05-29 17:00,1,
e_e000601,2305290002,,2305290002,,2023-05-29 22:00,8,5
e_e000654,2305200001,2305200001,,2023-05-20 12:00,,,
e_e000654,2305200002,,2305200002,,2023-05-20 14:30,1,
e_e000654,2305200003,,2305200003,,2023-05-20 16:00,1,
e_e000654,2305200004,,2305200004,,2023-05-20 17:00,1,
e_e000654,2305200005,,2305200005,,2023-05-20 19:00,1,
e_e000654,2305200006,,2305200006,,2023-05-20 22:00,1,
e_e001062,2305270001,2305270001,,2023-05-27 08:00,,,
e_e001062,2305270002,,2305270002,,2023-05-27 18:00,1,
e_e001062,2305270003,,2305270003,,2023-05-27 10:30,1,
e_e001062,2305270004,,2305270004,,2023-05-27 12:00,1,
e_e001062,2305270005,,2305270005,,2023-05-27 13:30,1,1
e_e001062,2305270006,,2305270006,,2023-05-27 14:30,1,
e_e001062,2305270007,,2305270007,,2023-05-27 15:30,1,
e_e001062,2305270008,,2305270008,,2023-05-27 17:30,1,
e_e001062,2305280001,,2305280001,,2023-05-28 11:00,1,
e_e001062,2305280002,,2305280002,,2023-05-28 11:30,1,
e_e001062,2305280003,,2305280003,,2023-05-28 14:00,1,
e_e001062,2305280004,,2305280004,,2023-05-28 16:00,1,
e_e001062,2305280005,,2305280005,,2023-05-28 17:00,1,
