TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
f_f000851,8,교통비,0,새마을/무궁화열차,N,1,,,,,6600,
f_f000845,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,17800,
f_f001202,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,15600,
f_f001192,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,15600,
f_f002062,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,8800,
f_f000912,1,통행료,0,자가용(승용/승합/트럭 등등),N,5,,,,,12800,
f_f001324,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,13200,
f_f001050,4,교통비,1,택시,N,2,2228101200,,2023-06-04 20:17,1,6800,택시비
f_f003966,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,50000,
f_f004829,14,렌탈비,0,자전거,N,2,,,,,18000,
f_f004829,14,렌탈비,1,자전거,N,2,3726600274,경주스쿠터,2023-08-06 09:54,1,18000,대여료
f_f006352,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,40000,
f_f009472,8,교통비,2,새마을/무궁화열차,N,2,3148210024,한국철도공사 ,2023-08-22 21:17,1,5600,기차표
f_f014050,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,8800,
f_f013638,4,교통비,3,택시,N,2,5061471825,포항개인택시,2023-09-14 22:09,1,5400,택시비
f_f015573,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,30000,
f_f016586,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,30000,
f_f016024,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,40000,
f_f016612,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,6500,
f_f015784,4,교통비,2,택시,N,1,,,2023-09-20 19:16,1,6300,택시비
f_f015745,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,40000,
f_f015453,7,교통비,1,KTX/SRT(고속열차),N,2,3148210024,한국철도공사,2023-09-24 08:32,1,0,기차표
f_f015453,7,교통비,2,KTX/SRT(고속열차),N,2,3148210024,한국철도공사,2023-09-24 08:26,1,0,기차표
f_f015453,16,교통비,0,기타,N,2,,,,,11000,
e_e000654,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,5000,
f_f000424,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,29000,
f_f000440,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,11000,
f_f000540,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,19000,
f_f000578,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,5000,
f_f000600,1,통행료,0,자가용(승용/승합/트럭 등등),N,7,,,,,22000,
f_f000626,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
f_f000686,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,9000,
f_f000704,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,12800,
f_f000720,1,통행료,0,자가용(승용/승합/트럭 등등),N,5,,,,,4000,
f_f000832,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,19000,
f_f000834,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,4000,
f_f000874,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,2000,
f_f000890,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,7000,
f_f000913,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,35800,
f_f000981,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,29000,
f_f000994,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
f_f000998,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
f_f001072,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,23000,
f_f001189,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,23000,
f_f001203,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,9000,
f_f001474,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,19000,
f_f001485,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,29000,
f_f001713,1,통행료,0,자가용(승용/승합/트럭 등등),N,7,,,,,17000,
f_f001748,1,통행료,0,자가용(승용/승합/트럭 등등),N,5,,,,,19000,
f_f001832,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,4000,
f_f001850,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,27000,
f_f001949,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,29000,
f_f002445,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,9000,
f_f002475,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,29000,
f_f002501,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,19000,
f_f002510,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,19000,
f_f002665,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,16000,
f_f003916,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,3500,
f_f004118,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,19000,
f_f004461,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,24000,
f_f004523,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
f_f004742,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,19000,
f_f005280,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,29000,
f_f005301,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,27000,
f_f005513,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,11000,
f_f005946,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,22000,
f_f006359,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,5000,
f_f007210,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,29000,
f_f008403,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,24000,
f_f008997,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,17000,
f_f009003,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,19000,
f_f009569,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,9000,
f_f010307,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,5000,
f_f011645,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,21000,
f_f012473,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,35000,
f_f015498,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,9000,
f_f000269,16,교통비,0,기타,N,1,,,,,17300,
f_f000977,16,교통비,0,기타,N,5,,,,,93500,
f_f001653,16,교통비,0,기타,N,3,,,,,36500,
f_f002451,16,교통비,0,기타,N,2,,,,,14900,
f_f004840,16,교통비,0,기타,N,2,,,,,11000,
f_f012376,16,교통비,0,기타,N,3,,,,,46000,
f_f014285,16,교통비,0,기타,N,1,,,,,21000,
f_f000269,4,교통비,2,택시,N,1,,,2023-06-03 17:55,1,4500,택시비
f_f000301,4,교통비,0,택시,N,2,,,,,7000,
f_f000464,8,교통비,1,새마을/무궁화열차,N,1,3148210024,한국철도공사,2023-05-18 00:00,3,3100,기차표
f_f000599,2,렌탈비,0,렌터카(승용/승합/버스 등등),N,2,,,,,160000,
f_f000605,4,교통비,2,택시,N,2,6738601140,희망택시협동조합,2023-05-17 15:39,1,5000,택시비
f_f000645,7,교통비,2,KTX/SRT(고속열차),Y,4,3148210024,한국철도공사,2023-04-22 10:16,3,37500,기차표
f_f000680,4,교통비,1,택시,N,1,5456000017,개인택시,2023-05-26 14:22,1,20500,택시비
f_f000708,2,주유비,0,렌터카(승용/승합/버스 등등),N,5,,,,,30000,
f_f000807,4,교통비,5,택시,N,1,1048183559,㈜티머니,2023-05-29 11:23,1,7300,택시비
f_f000885,5,교통비,0,지하철,N,2,,,,,3300,
f_f000903,4,교통비,2,택시,N,4,,UT,2023-06-08 10:29,1,6200,택시비
f_f000905,11,교통비,1,관광버스,N,1,,코밴,2023-05-21 13:42,1,5500,
f_f000951,4,교통비,1,택시,N,2,,DGB유페이 카카오개인,2023-05-27 06:46,1,8200,
f_f001072,4,교통비,0,택시,N,4,,,,,12500,
f_f001099,14,렌탈비,0,자전거,N,1,,,,,5500,
f_f001137,4,교통비,5,택시,N,2,1330549292,개인택시,2023-05-29 19:57,1,13500,택시비
f_f001188,4,교통비,0,택시,N,2,,,,,18500,
f_f001333,4,교통비,2,택시,N,2,7784500439,,2023-05-29 19:52,1,5000,택시비
f_f001357,5,교통비,0,지하철,N,1,,,,,4400,
f_f001588,4,교통비,1,택시,N,2,,,2023-06-08 17:32,1,5500,택시비
f_f002040,4,교통비,1,택시,N,2,2221432185,,2023-06-01 18:12,1,5500,택시비
f_f002040,4,교통비,2,택시,N,2,2221432337,,2023-06-02 11:31,1,5500,택시비
f_f002040,5,교통비,0,지하철,N,2,,,,,5500,
f_f002044,2,주유비,0,렌터카(승용/승합/버스 등등),N,4,,,,,50000,
f_f002102,4,교통비,0,택시,N,2,,,,,13500,
f_f002457,2,주유비,0,렌터카(승용/승합/버스 등등),N,3,,,,,40000,
f_f002788,4,교통비,5,택시,N,2,4881600782,개인택시,2023-06-06 16:53,1,7300,택시비
f_f003557,13,교통비,0,시내/마을버스,N,1,,,,,3500,
f_f003806,12,교통비,0,시외/고속버스,N,2,,,,,40500,
f_f004092,4,교통비,0,택시,N,3,,,,,4500,
f_f004800,4,교통비,0,택시,N,2,,,,,13500,
f_f004829,2,렌탈비,0,렌터카(승용/승합/버스 등등),N,2,,,,,89330,
f_f004876,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,30000,
f_f005269,8,교통비,0,새마을/무궁화열차,N,1,,,,,13500,
f_f005320,4,교통비,4,택시,N,2,1298638970,로카모빌리티(주),2023-08-02 14:03,1,7500,택시비
f_f005680,7,교통비,1,KTX/SRT(고속열차),Y,2,3148210024,한국철도공사,2023-07-22 23:44,1,17900,기차표 
f_f005780,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,40000,
f_f005847,4,교통비,0,택시,N,2,,,,,28000,
f_f005943,4,교통비,0,택시,N,2,,,,,4700,
f_f006054,12,교통비,0,시외/고속버스,N,1,,,,,21500,
f_f006237,5,교통비,0,지하철,N,2,,,,,5500,
f_f006716,5,교통비,0,지하철,N,2,,,,,4500,
f_f006717,5,교통비,0,지하철,N,2,,,,,3200,
f_f007144,4,교통비,2,택시,N,2,4853900031,,2023-08-20 16:22,1,6500,택시비
f_f007232,4,교통비,0,택시,N,3,,,,,12500,
f_f007957,14,렌탈비,0,자전거,N,2,,,,,12000,
f_f008187,4,교통비,3,택시,N,2,1298638970,로카모빌리티(주) ,2023-08-17 14:33,1,8500,택시비
f_f008699,12,교통비,0,시외/고속버스,N,2,,,,,10550,
f_f008779,4,교통비,2,택시,N,2,5061485542,포항개인택시,2023-08-26 12:44,1,11000,택시비 
f_f009430,4,교통비,1,택시,N,4,2268101255,경포운수(주),2023-08-24 15:14,1,5000,택시비
f_f009505,13,교통비,0,시내/마을버스,N,2,,,,,3200,
f_f009556,12,교통비,0,시외/고속버스,N,2,,,,,18000,
f_f009556,4,교통비,0,택시,N,2,,,,,30500,
f_f009704,13,교통비,0,시내/마을버스,N,1,,,,,2500,
f_f010136,7,교통비,0,KTX/SRT(고속열차),N,1,,,,,12600,
f_f010239,13,교통비,0,시내/마을버스,N,2,,,,,3200,
f_f010333,4,교통비,1,택시,N,2,,,2023-08-28 19:11,1,5600,택시비
f_f010870,5,교통비,0,지하철,N,2,,,,,3500,
f_f011861,4,교통비,3,택시,N,2,1320985589,,2023-08-26 12:43,1,5500,택시비
f_f011883,11,교통비,1,관광버스,Y,2,3848101454,주식회사 가이드라이브,2023-08-23 20:54,1,70000,[서울출발] 원주 뮤지엄산 셔틀버스(왕복) 
f_f012010,14,렌탈비,0,자전거,N,1,,,,,6000,
f_f012111,4,교통비,1,택시,N,1,7092301522,,2023-08-24 19:09,1,6500,택시비
f_f012114,5,교통비,0,지하철,N,1,,,,,3200,
f_f012146,4,교통비,1,택시,N,2,2268101463,대영운수(자),2023-08-30 15:06,1,6200,택시비 
f_f012757,4,교통비,1,택시,N,1,,,2023-09-09 10:31,1,8500,택시비
f_f013183,4,교통비,1,택시,N,2,5050849538,,2023-08-29 20:05,1,6200,택시비 
f_f013505,4,교통비,1,택시,N,2,,강일운수(주),2023-08-31 12:11,1,7800,택시비
f_f013507,4,교통비,0,택시,N,2,,,,,6800,
f_f014252,4,교통비,0,택시,N,2,,,,,24500,
f_f014495,13,교통비,0,시내/마을버스,N,1,,,,,1800,
f_f014698,5,교통비,0,지하철,N,2,,,,,4500,
f_f015464,4,교통비,0,택시,N,2,,,,,6500,
f_f015528,5,교통비,0,지하철,N,4,,,,,5500,
f_f016414,12,교통비,0,시외/고속버스,N,2,,,,,28300,
e_e000003,11,교통비,0,관광버스,N,4,,,,,60000,
e_e000340,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,50000,
e_e000340,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,4200,
e_e000515,1,주유비,0,자가용(승용/승합/트럭 등등),N,5,,,,,80000,
e_e000515,1,통행료,0,자가용(승용/승합/트럭 등등),N,4,,,,,34000,
e_e000571,1,주유비,0,자가용(승용/승합/트럭 등등),N,1,,,,,50000,
e_e000571,1,주차비,0,자가용(승용/승합/트럭 등등),N,1,,,,,1000,
e_e000571,1,통행료,0,자가용(승용/승합/트럭 등등),N,1,,,,,24000,
e_e000571,2,렌탈비,0,렌터카(승용/승합/버스 등등),N,1,,,,,89000,
e_e000571,2,주유비,0,렌터카(승용/승합/버스 등등),N,1,,,,,30000,
e_e000571,50,교통비,0,버스 + 지하철,N,1,,,,,15000,
e_e000571,7,교통비,0,KTX/SRT(고속열차),N,1,,,,,52100,
e_e000571,9,교통비,0,항공기,N,1,,,,,34800,
e_e000601,1,주유비,0,자가용(승용/승합/트럭 등등),N,1,,,,,10000,
e_e000601,5,교통비,0,지하철,N,1,,,,,4350,
e_e000601,8,교통비,0,새마을/무궁화열차,N,1,,,,,49000,
e_e001062,1,주유비,0,자가용(승용/승합/트럭 등등),N,8,,,,,200000,
e_e001062,1,통행료,0,자가용(승용/승합/트럭 등등),N,8,,,,,30000,
e_e004690,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,69097,
e_e004690,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,20000,
e_e004785,2,렌탈비,1,렌터카(승용/승합/버스 등등),N,2,,한국정보통신,2023-07-12 21:11,1,11320,쏘카 렌트비
e_e004785,2,렌탈비,2,렌터카(승용/승합/버스 등등),Y,2,8158100527,나이스페이먼츠 주식회사,2023-06-15 15:30,1,111800,쏘카 렌트비
e_e004785,2,주유비,0,렌터카(승용/승합/버스 등등),N,2,,,,,40000,
e_e004785,4,교통비,0,택시,N,2,,,,,53700,
e_e004785,50,교통비,0,버스 + 지하철,N,2,,,,,29800,
e_e006945,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,40000,
e_e006945,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,9200,
e_e008914,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,50000,
e_e008914,4,교통비,0,택시,N,4,,,,,5000,
e_e008914,50,교통비,0,버스 + 지하철,N,4,,,,,24000,
f_f000007,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,120000,
f_f000007,1,주차비,0,자가용(승용/승합/트럭 등등),N,2,,,,,10500,
f_f000007,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,20000,
f_f000012,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,85000,
